ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Data_Base
1,2023-06-08,São Paulo,Mouse Gamer,120.0,1,Cliente_4095,2025-01-01
2,2023-03-01,Belo Horizonte,iPhone 14,5500.0,1,Cliente_8750
3,2023-02-25,,"Monitor 27""",1200.0,1,Cliente_14859
4,2024-11-19,RIO DE JANEIRO,Mouse Gamer,120.0,2,Cliente_17343
5,2024-01-27,Rio de Janeiro,Smartphone Samsung,2200.0,1,Cliente_23377
6,2023-03-11,São Paulo,Cabo HDMI,40.0,1,Cliente_24809
7,2024-12-08,Salvador,"Monitor 27""",1200.0,1,Cliente_11076
8,2024-09-12,São Paulo,"Monitor 27""",1200.0,2,Cliente_14053
9,2023-05-20,Belo Horizonte,Mouse Gamer,120.0,1,Cliente_19175
10,2024-10-16,Recife,Notebook HP,3200.0,1,Cliente_13508
11,2023-06-28,RIO DE JANEIRO,Smartphone Samsung,2200.0,1,Cliente_3253
12,2024-01-29,Rio de Janeiro,Mouse Gamer,120.0,1,Cliente_586
13,2024-06-25,Recife,Smartphone Samsung,2200.0,1,Cliente_4301
14,2023-04-13,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_22985
15,2023-06-23,Curitiba,Cabo HDMI,40.0,1,Cliente_27383
16,2024-04-04,Curitiba,"Monitor 27""",1200.0,1,Cliente_12891
17,2023-06-16,Rio de Janeiro,iPhone 14,5500.0,1,Cliente_28162
18,2023-07-06,Curitiba,Cabo HDMI,40.0,1,Cliente_24451
19,2024-03-20,Salvador,Cabo HDMI,40.0,1,Cliente_4793
20,2024-08-15,Belo Horizonte,Smartphone Samsung,2200.0,3,Cliente_27943
21,2024-12-27,Curitiba,Teclado Mecânico,250.0,1,Cliente_20626
22,2023-11-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_28539
23,2024-03-12,Belo Horizonte,Notebook HP,3200.0,1,Cliente_20935
24,2023-05-15,Recife,Cabo HDMI,40.0,3,Cliente_20951
25,2023-12-18,Rio de Janeiro,iPhone 14,5500.0,1,Cliente_23275
26,2023-09-01,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_19792
27,2023-12-15,Curitiba,Teclado Mecânico,250.0,3,Cliente_20985
28,2024-02-18,Belo Horizonte,Notebook HP,3200.0,1,Cliente_25846
29,2023-04-30,Porto Alegre,Cabo HDMI,40.0,1,Cliente_15726
30,2023-03-18,Recife,iPhone 14,5500.0,5,Cliente_25098
31,2024-07-19,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_553
32,2023-10-21,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_17604
33,2023-08-27,Recife,iPhone 14,5500.0,1,Cliente_27756
34,2023-01-30,Recife,Notebook HP,3200.0,2,Cliente_14540
35,2024-04-13,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_21068
36,2023-08-18,RIO DE JANEIRO,"Monitor 27""",1200.0,10,Cliente_14934
37,2023-10-01,Salvador,iPhone 14,5500.0,3,Cliente_17307
38,2024-09-01,Rio de Janeiro,Notebook Dell,3500.0,1,Cliente_9658
39,2023-10-12,Curitiba,Notebook Dell,3500.0,1,Cliente_22952
40,2024-07-14,Porto Alegre,Smartphone Samsung,2200.0,2,Cliente_14946
41,2024-03-04,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_19675
42,2023-05-28,Porto Alegre,Mouse Gamer,120.0,2,Cliente_24639
43,2024-02-19,Porto Alegre,Notebook HP,3200.0,1,Cliente_26537
44,2023-02-16,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_27220
45,2023-03-24,São Paulo,iPhone 14,5500.0,2,Cliente_29552
46,2023-09-26,Rio de Janeiro,iPhone 14,5500.0,2,Cliente_1461
47,2023-07-24,Recife,Cabo HDMI,40.0,1,Cliente_2518
48,2023-10-28,São Paulo,Mouse Gamer,120.0,1,Cliente_27710
49,2023-03-11,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_7772
50,2023-11-09,  São Paulo ,Teclado Mecânico,250.0,1,Cliente_12892
51,2024-04-15,RIO DE JANEIRO,Mouse Gamer,120.0,2,Cliente_24734
52,2024-01-10,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_17824
53,2023-11-07,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_1707
54,2024-08-31,Porto Alegre,iPhone 14,5500.0,1,Cliente_4625
55,2023-06-25,RIO DE JANEIRO,Mouse Gamer,120.0,3,Cliente_14806
56,2023-11-29,São Paulo,iPhone 14,5500.0,2,Cliente_10628
57,2024-04-09,Curitiba,Cabo HDMI,40.0,1,Cliente_4193
58,2023-11-08,Salvador,Notebook Dell,3500.0,1,Cliente_22829
59,2023-03-21,Recife,Smartphone Samsung,2200.0,1,Cliente_14314
60,2024-03-07,Recife,"Monitor 27""",1200.0,1,Cliente_1357
61,2024-12-04,Salvador,Smartphone Samsung,2200.0,1,Cliente_9034
62,2024-03-04,Salvador,Mouse Gamer,120.0,1,Cliente_9955
63,2024-02-05,Curitiba,"Monitor 27""",1200.0,1,Cliente_13410
64,2023-07-19,Curitiba,Notebook Dell,3500.0,2,Cliente_4574
65,2024-04-17,,Mouse Gamer,120.0,2,Cliente_2365
66,2024-03-23,RIO DE JANEIRO,Notebook HP,3200.0,1,Cliente_7343
67,2024-04-23,Belo Horizonte,iPhone 14,5500.0,1,Cliente_4833
68,2023-04-29,Curitiba,Notebook Dell,3500.0,1,Cliente_8204
69,2023-06-29,RIO DE JANEIRO,iPhone 14,5500.0,1,Cliente_29179
70,2023-10-23,Porto Alegre,Teclado Mecânico,250.0,1,Cliente_239
71,2023-11-16,São Paulo,Notebook HP,3200.0,1,Cliente_18298
72,2023-12-24,São Paulo,Notebook HP,3200.0,10,Cliente_22438
73,2024-10-09,Curitiba,Notebook Dell,3500.0,1,Cliente_3893
74,2023-04-22,São Paulo,Notebook HP,3200.0,1,Cliente_8812
75,2024-01-06,Curitiba,"Monitor 27""",1200.0,1,Cliente_11301
76,2024-03-10,São Paulo,Notebook HP,3200.0,5,Cliente_17931
